도시,날짜,시간,요일,주말여부,계절,연도,월,자전거수요
london,2023-01-18,18,2,0,winter,2023,1,2363
london,2023-01-18,19,2,0,winter,2023,1,1471
london,2023-01-18,20,2,0,winter,2023,1,886
london,2023-01-18,21,2,0,winter,2023,1,628
london,2023-01-18,22,2,0,winter,2023,1,463
london,2023-01-18,23,2,0,winter,2023,1,256
london,2023-01-19,0,3,0,winter,2023,1,102
london,2023-01-19,1,3,0,winter,2023,1,34
london,2023-01-19,2,3,0,winter,2023,1,32
london,2023-01-19,3,3,0,winter,2023,1,28
london,2023-01-19,4,3,0,winter,2023,1,49
london,2023-01-19,5,3,0,winter,2023,1,126
london,2023-01-19,6,3,0,winter,2023,1,557
london,2023-01-19,7,3,0,winter,2023,1,1626
london,2023-01-19,8,3,0,winter,2023,1,3151
london,2023-01-19,9,3,0,winter,2023,1,1640
london,2023-01-19,10,3,0,winter,2023,1,905
london,2023-01-19,11,3,0,winter,2023,1,810
london,2023-01-19,12,3,0,winter,2023,1,898
london,2023-01-19,13,3,0,winter,2023,1,936
london,2023-01-19,14,3,0,winter,2023,1,863
london,2023-01-19,15,3,0,winter,2023,1,1029
london,2023-01-19,16,3,0,winter,2023,1,1335
london,2023-01-19,17,3,0,winter,2023,1,2345
london,2023-01-19,18,3,0,winter,2023,1,2361
london,2023-01-19,19,3,0,winter,2023,1,1513
london,2023-01-19,20,3,0,winter,2023,1,887
london,2023-01-19,21,3,0,winter,2023,1,628
london,2023-01-19,22,3,0,winter,2023,1,529
london,2023-01-19,23,3,0,winter,2023,1,308
london,2023-01-20,0,4,0,winter,2023,1,159
london,2023-01-20,1,4,0,winter,2023,1,71
london,2023-01-20,2,4,0,winter,2023,1,39
london,2023-01-20,3,4,0,winter,2023,1,21
london,2023-01-20,4,4,0,winter,2023,1,38
london,2023-01-20,5,4,0,winter,2023,1,116
london,2023-01-20,6,4,0,winter,2023,1,471
london,2023-01-20,7,4,0,winter,2023,1,1125
london,2023-01-20,8,4,0,winter,2023,1,2154
london,2023-01-20,9,4,0,winter,2023,1,1385
london,2023-01-20,10,4,0,winter,2023,1,849
london,2023-01-20,11,4,0,winter,2023,1,869
london,2023-01-20,12,4,0,winter,2023,1,1109
london,2023-01-20,13,4,0,winter,2023,1,1082
london,2023-01-20,14,4,0,winter,2023,1,973
london,2023-01-20,15,4,0,winter,2023,1,1100
london,2023-01-20,16,4,0,winter,2023,1,1399
london,2023-01-20,17,4,0,winter,2023,1,1894
london,2023-01-20,18,4,0,winter,2023,1,1787
london,2023-01-20,19,4,0,winter,2023,1,1227
london,2023-01-20,20,4,0,winter,2023,1,785
london,2023-01-20,21,4,0,winter,2023,1,539
london,2023-01-20,22,4,0,winter,2023,1,452
london,2023-01-20,23,4,0,winter,2023,1,394
london,2023-01-21,0,5,1,winter,2023,1,325
london,2023-01-21,1,5,1,winter,2023,1,189
london,2023-01-21,2,5,1,winter,2023,1,125
london,2023-01-21,3,5,1,winter,2023,1,105
london,2023-01-21,4,5,1,winter,2023,1,45
london,2023-01-21,5,5,1,winter,2023,1,53
london,2023-01-21,6,5,1,winter,2023,1,96
london,2023-01-21,7,5,1,winter,2023,1,233
london,2023-01-21,8,5,1,winter,2023,1,492
london,2023-01-21,9,5,1,winter,2023,1,851
london,2023-01-21,10,5,1,winter,2023,1,1141
london,2023-01-21,11,5,1,winter,2023,1,1383
london,2023-01-21,12,5,1,winter,2023,1,1642
london,2023-01-21,13,5,1,winter,2023,1,1504
london,2023-01-21,14,5,1,winter,2023,1,1564
london,2023-01-21,15,5,1,winter,2023,1,1482
london,2023-01-21,16,5,1,winter,2023,1,1302
london,2023-01-21,17,5,1,winter,2023,1,1135
london,2023-01-21,18,5,1,winter,2023,1,917
london,2023-01-21,19,5,1,winter,2023,1,742
london,2023-01-21,20,5,1,winter,2023,1,532
london,2023-01-21,21,5,1,winter,2023,1,427
london,2023-01-21,22,5,1,winter,2023,1,378
london,2023-01-21,23,5,1,winter,2023,1,343
london,2023-01-22,0,6,1,winter,2023,1,285
london,2023-01-22,1,6,1,winter,2023,1,220
london,2023-01-22,2,6,1,winter,2023,1,149
london,2023-01-22,3,6,1,winter,2023,1,95
london,2023-01-22,4,6,1,winter,2023,1,64
london,2023-01-22,5,6,1,winter,2023,1,43
london,2023-01-22,6,6,1,winter,2023,1,75
london,2023-01-22,7,6,1,winter,2023,1,153
london,2023-01-22,8,6,1,winter,2023,1,321
london,2023-01-22,9,6,1,winter,2023,1,577
london,2023-01-22,10,6,1,winter,2023,1,956
london,2023-01-22,11,6,1,winter,2023,1,1112
london,2023-01-22,12,6,1,winter,2023,1,1320
london,2023-01-22,13,6,1,winter,2023,1,1403
london,2023-01-22,14,6,1,winter,2023,1,1413
london,2023-01-22,15,6,1,winter,2023,1,1316
london,2023-01-22,16,6,1,winter,2023,1,1169
london,2023-01-22,17,6,1,winter,2023,1,852
london,2023-01-22,18,6,1,winter,2023,1,755
london,2023-01-22,19,6,1,winter,2023,1,545
london,2023-01-22,20,6,1,winter,2023,1,396
london,2023-01-22,21,6,1,winter,2023,1,247
london,2023-01-22,22,6,1,winter,2023,1,269
london,2023-01-22,23,6,1,winter,2023,1,138
london,2023-01-23,0,0,0,winter,2023,1,80
london,2023-01-23,1,0,0,winter,2023,1,50
london,2023-01-23,2,0,0,winter,2023,1,21
london,2023-01-23,3,0,0,winter,2023,1,13
london,2023-01-23,4,0,0,winter,2023,1,34
london,2023-01-23,5,0,0,winter,2023,1,112
london,2023-01-23,6,0,0,winter,2023,1,495
london,2023-01-23,7,0,0,winter,2023,1,1297
london,2023-01-23,8,0,0,winter,2023,1,2324
london,2023-01-23,9,0,0,winter,2023,1,1239
london,2023-01-23,10,0,0,winter,2023,1,715
london,2023-01-23,11,0,0,winter,2023,1,644
london,2023-01-23,12,0,0,winter,2023,1,842
london,2023-01-23,13,0,0,winter,2023,1,756
london,2023-01-23,14,0,0,winter,2023,1,705
london,2023-01-23,15,0,0,winter,2023,1,809
london,2023-01-23,16,0,0,winter,2023,1,1214
london,2023-01-23,17,0,0,winter,2023,1,2404
london,2023-01-23,18,0,0,winter,2023,1,2668
london,2023-01-23,19,0,0,winter,2023,1,1534
london,2023-01-23,20,0,0,winter,2023,1,908
london,2023-01-23,21,0,0,winter,2023,1,614
